FID,ID_PARADA,CODI_PARADA,NOM_PARADA,DESC_PARADA,CODI_INTERC,NOM_INTERC,NOM_TIPUS_PARADA,NOM_TIPUS_SIMPLE_PARADA,DESC_TIPUS_PARADA,TIPIFICACIO_PARADA,ADRECA,ID_POBLACIO,NOM_POBLACIO,ID_DISTRICTE,NOM_DISTRICTE,DATA,NOM_VIA,NOM_PROPERA_VIA,GEOMETRY,PUNTS_PARADA
PARADES_ACTIVES.680249,680249,2,Av Icària - Àlaba,Av. Icària/Frederic Mompou,0,,NOU4MS,Marquesina,Nova Marq. Pal·li Simple,NXB,"Av. Icària, 193",748,Barcelona,621,Sant Martí,2024-12-06,Avinguda d'Icària,Carrer de Frederic Mompou,POINT (2.1989850510752147 41.39310425052752),1
PARADES_ACTIVES.674788,674788,3,València - Muntaner,València/Aribau,52,Antiga Esquerra de l'Eixample,FOSTER,Marquesina,Marq. Foster 4m,NXB,"València, 198",748,Barcelona,622,Eixample,2024-12-06,Carrer de València,Carrer d'Aribau,POINT (2.157891256250179 41.38854563338069),1
PARADES_ACTIVES.689821,689821,4,Mallorca - Balmes,Mallorca/Aribau,25,Eixample Centre,FOSTER,Marquesina,Marq. Foster 4m,NXB,"Mallorca, 215",748,Barcelona,622,Eixample,2024-12-06,Carrer de Mallorca,Carrer d'Aribau,POINT (2.1587318610871247 41.391021357114504),1
PARADES_ACTIVES.674433,674433,7,Pl Universitat,Gran Via C.Catalanes/Aribau,22,Universitat,FOSTER,Marquesina,Marq. Foster 4m,NXB,"Gran Via Corts Catalanes, 585",748,Barcelona,622,Eixample,2024-12-06,Gran Via de les Corts Catalanes,Carrer d'Aribau,POINT (2.163309821110431 41.38590662761268),1
PARADES_ACTIVES.674595,674595,8,Pl de Carles Buïgas,Ferrer i Guàrdia/Av. Rª Mª Cristina,0,,NOU4MS,Marquesina,Nova Marq. Pal·li Simple,N,"Francesc Ferrer i Guàrdia, 1-5",748,Barcelona,623,Sants-Montjuïc,2024-12-06,Avinguda de Francesc Ferrer i Guàrdia,Avinguda de la Reina Maria Cristina,POINT (2.1501182497304105 41.371045269524885),1
PARADES_ACTIVES.675382,675382,12,Llinars - Santander,Llinars del Vallès/Estadella,0,,PALFIX,Pal,Parada Palfix,NXB,"LLinars del Vallès, 2",748,Barcelona,629,Sant Andreu,2024-12-06,Carrer de Llinars del Vallès,Carrer de l'Estadella,POINT (2.207305118073329 41.43475457314541),1
PARADES_ACTIVES.675380,675380,13,Sas - Claramunt,Sas/Claramunt,0,,NOU4MS,Marquesina,Nova Marq. Pal·li Simple,NXB,"Sas, 31-39",748,Barcelona,629,Sant Andreu,2024-12-06,Carrer de Sas,Carrer de Claramunt,POINT (2.2041825537886988 41.43759079271268),1
PARADES_ACTIVES.674538,674538,15,Via Favència - Almagro,Via Favència/Artesania,0,,NOU4MS,Marquesina,Nova Marq. Pal·li Simple,N,"Favència, 141",748,Barcelona,628,Nou Barris,2024-12-06,Via Favència,Carrer de l'Artesania,POINT (2.1720545079345395 41.44391007228348),1
PARADES_ACTIVES.675447,675447,16,Via Favència - Castor,Via Favència/Castor,0,,NOU4MS,Marquesina,Nova Marq. Pal·li Simple,N,"Favència, s/n",748,Barcelona,628,Nou Barris,2024-12-06,Via Favència,Carrer de l'Artesania,POINT (2.170198177056857 41.442690395643076),1
PARADES_ACTIVES.674920,674920,17,Les Torres - Mina de la Ciutat,Les Torres/Artesania,0,,POSTOF,Pal,Parada Palfix O-F,N,"Torres, 98-104",748,Barcelona,628,Nou Barris,2024-12-06,Carrer de Torres,Carrer de l'Artesania,POINT (2.171609650166558 41.44665153645408),1
PARADES_ACTIVES.674651,674651,18,Antonio Machado - E M de Natació,Antonio Machado/Artesania,0,,MAR4OF,Marquesina,Marq. Pal·li 4m O-F,N,"Antonio Machado, 26-30",748,Barcelona,628,Nou Barris,2024-12-06,Carrer d'Antonio Machado,Carrer de l'Artesania,POINT (2.170504715994722 41.44429481138409),1
PARADES_ACTIVES.674650,674650,20,Antonio Machado - Artesania,Antonio Machado/Artesania,0,,PALFIX,Pal,Parada Palfix,NXB,"Antonio Machado, s/n",748,Barcelona,628,Nou Barris,2024-12-06,Carrer d'Antonio Machado,Carrer de l'Artesania,POINT (2.1708213862666947 41.44438503212881),1
PARADES_ACTIVES.674475,674475,21,Palau Reial,Av. Diagonal/Universitat Barcelona,0,,NOU4MS,Marquesina,Nova Marq. Pal·li Simple,NXB,"Av. Diagonal, s/n",748,Barcelona,624,Les Corts,2024-12-06,Avinguda Diagonal,Carrer de l'Alfambra,POINT (2.116136628335877 41.3855931238466),1
PARADES_ACTIVES.674825,674825,22,Av República Argentina - Vallcarca,República Argentina/Viaducte Vallcarca,0,,NOU4MS,Marquesina,Nova Marq. Pal·li Simple,NXB,"República Argentina, 155",748,Barcelona,625,Sarrià-St. Gervasi,2024-12-06,Avinguda de la República Argentina,Viaducte de Vallcarca,POINT (2.1439734013239478 41.411364980366116),1
PARADES_ACTIVES.674648,674648,24,Ronda Guineueta Vella - Barri Canyelles,Rda. Guineueta Vella,0,,MAR4MS,Marquesina,Marq. Pal·li 4m Simple,NXB,"Guineueta Vella, 40-46",748,Barcelona,628,Nou Barris,2024-12-06,Ronda de la Guineueta Vella,Carrer d'Ignasi Agustí,POINT (2.1652189855300423 41.44432545936974),1
PARADES_ACTIVES.674649,674649,25,Ronda Guineueta Vella - Escola Deià,Rda. Guineueta Vella/Ignasi Agustí,0,,MAR4MS,Marquesina,Marq. Pal·li 4m Simple,NXB,"Guineueta Vella, 62",748,Barcelona,628,Nou Barris,2024-12-06,Ronda de la Guineueta Vella,Carrer d'Ignasi Agustí,POINT (2.1677873525065485 41.444835445214544),1
PARADES_ACTIVES.690647,690647,27,Metro Marina,Marina/Almogàvers,30,Pont de la Marina,FOSTER,Marquesina,Marq. Foster 4m,NXB,"Marina, 108",748,Barcelona,622,Eixample,2024-12-06,Carrer de la Marina,Carrer dels Almogàvers,POINT (2.187548624816929 41.39443652060837),1
PARADES_ACTIVES.681469,681469,28,Hospital Vall d'Hebron,Pg. Vall d'Hebron/Av. Jordà,0,,NOU4MS,Marquesina,Nova Marq. Pal·li Simple,NXB,"Vall d'Hebron, 119-129",748,Barcelona,627,Horta-Guinardó,2024-12-06,Passeig de la Vall d'hebron,Avinguda del Jordà,POINT (2.1429924537910474 41.426892430914),1
PARADES_ACTIVES.675442,675442,29,Sant Genís dels Agudells - Natzaret,Natzaret/Saldes,0,,POSTOF,Pal,Parada Palfix O-F,N,"Natzaret, 119-129",748,Barcelona,627,Horta-Guinardó,2024-12-06,Carrer de Natzaret,Carrer de Saldes,POINT (2.1380498089055813 41.42919681833726),1
PARADES_ACTIVES.674866,674866,30,Sant Genís dels Agudells,Natzaret/Saldes,0,,MAR4OF,Marquesina,Marq. Pal·li 4m O-F,N,"Natzaret, 119-129",748,Barcelona,627,Horta-Guinardó,2024-12-06,Carrer de Natzaret,Carrer de Saldes,POINT (2.138144783311567 41.429429957540655),1
PARADES_ACTIVES.675259,675259,31,Llull - Àlaba,Llull/Àvila,0,,MAR4MS,Marquesina,Marq. Pal·li 4m Simple,N,"Llull, 96",748,Barcelona,621,Sant Martí,2024-12-06,Carrer de Llull,Carrer d'Àvila,POINT (2.1955195568296935 41.3960201273447),1
PARADES_ACTIVES.699579,699579,32,Metro Glòries,Pl. Glòries/Av. Diagonal,0,,NOU4MS,Marquesina,Nova Marq. Pal·li Simple,NXB,"Pl. Glòries Catalanes, 23-24",748,Barcelona,621,Sant Martí,2024-12-06,Plaça de les Glòries Catalanes,Carrer d'Àvila,POINT (2.1880842852153264 41.40302046434473),1
PARADES_ACTIVES.690823,690823,34,Av Icària - Av Bogatell,Av. Icària/Joan Oliver,0,,NOU4MS,Marquesina,Nova Marq. Pal·li Simple,NXB,"Icària, 184-192",748,Barcelona,621,Sant Martí,2024-12-06,Avinguda d'Icària,Carrer de Joan Oliver,POINT (2.1993183139738863 41.39302513799257),1
PARADES_ACTIVES.690645,690645,36,Metro Marina,Marina/Buenaventura Muñoz,30,Pont de la Marina,FOSTER,Marquesina,Marq. Foster 4m,NXB,"Marina, 99",748,Barcelona,622,Eixample,2024-12-06,Carrer de la Marina,Carrer de Buenaventura Muñoz,POINT (2.187544654419209 41.39415329734852),1
PARADES_ACTIVES.676833,676833,38,Marina - Ribes,Marina/Ausiàs Marc,0,,NOU4MS,Marquesina,Nova Marq. Pal·li Simple,NXB,"Marina, 145-147",748,Barcelona,622,Eixample,2024-12-06,Carrer de la Marina,Carrer d'Ausiàs Marc,POINT (2.1829317394136964 41.397709087479946),1
PARADES_ACTIVES.693539,693539,39,Pg de Sant Joan - Alí-Bei,Pg. Sant Joan/Ausiàs Marc,0,,FOSTER,Marquesina,Marq. Foster 4m,NXB,"Sant Joan, 18",748,Barcelona,622,Eixample,2024-12-06,Passeig de Sant Joan,Carrer d'Ausiàs Marc,POINT (2.178786632215774 41.392553322031745),1
PARADES_ACTIVES.674471,674471,41,Diagonal - Doctor Fleming,Av. Diagonal/Agustina Saragossa,0,,NOU4MS,Marquesina,Nova Marq. Pal·li Simple,N,"Av. Diagonal, 634-642",748,Barcelona,624,Les Corts,2024-12-06,Avinguda Diagonal,Carrer d'Agustina Saragossa,POINT (2.136321962467283 41.39071004982654),1
PARADES_ACTIVES.676832,676832,42,Diagonal - L'Illa Diagonal,Av. Diagonal/Agustina Saragossa,0,,NOU4MD,Marquesina,Nova Marq. Pal·li Doble,N,"Av. Diagonal, 571",748,Barcelona,624,Les Corts,2024-12-06,Avinguda Diagonal,Carrer d'Agustina Saragossa,POINT (2.1335897951886795 41.38962300011276),1
PARADES_ACTIVES.676644,676644,43,Pg Zona Franca - Foneria,Pg. Zona Franca/Alts Forns,21,Foneria,NOU4MS,Marquesina,Nova Marq. Pal·li Simple,NXB,"Zona Franca, 173-175",748,Barcelona,623,Sants-Montjuïc,2024-12-06,Passeig de la Zona Franca,Carrer dels Alts Forns,POINT (2.139079492271442 41.35982611940885),1
PARADES_ACTIVES.695313,695313,44,Pg Zona Franca - Foc,Pg. Zona Franca/Alts Forns,0,,NOU4MD,Marquesina,Nova Marq. Pal·li Doble,NXB,"Pg. Zona Franca, 106-109",748,Barcelona,623,Sants-Montjuïc,2024-12-06,Passeig de la Zona Franca,Carrer dels Alts Forns,POINT (2.1415389465293435 41.35686272891957),1
PARADES_ACTIVES.691820,691820,47,Parc Sanitari Pere Virgili,Av. Vallcarca/Capellades,0,,NOU4MS,Marquesina,Nova Marq. Pal·li Simple,N,"Av Vallcarca, 198",748,Barcelona,626,Gràcia,2024-12-06,Avinguda de Vallcarca,Carrer de Capellades,POINT (2.1419292118493005 41.416266549436905),1
PARADES_ACTIVES.674506,674506,48,Palau d'Esports Vall d'Hebron,Pg. Vall d'Hebron-P.Esports/Pare Mariana,0,,NOU4MD,Marquesina,Nova Marq. Pal·li Doble,NXB,"Pg. Vall d'Hebron, 162-176",748,Barcelona,627,Horta-Guinardó,2024-12-06,Passeig de la Vall d'hebron,Carrer del Pare Mariana,POINT (2.1441653264898766 41.42791991234202),1
