stop_id,stop_name,coordinates
2,Av Icària - Àlaba,POINT (2.1989850510752147 41.39310425052752)
3,València - Muntaner,POINT (2.157891256250179 41.38854563338069)
4,Mallorca - Balmes,POINT (2.1587318610871247 41.391021357114504)
7,Pl Universitat,POINT (2.163309821110431 41.38590662761268)
8,Pl de Carles Buïgas,POINT (2.1501182497304105 41.371045269524885)
12,Llinars - Santander,POINT (2.207305118073329 41.43475457314541)
13,Sas - Claramunt,POINT (2.2041825537886988 41.43759079271268)
15,Via Favència - Almagro,POINT (2.1720545079345395 41.44391007228348)
16,Via Favència - Castor,POINT (2.170198177056857 41.442690395643076)
17,Les Torres - Mina de la Ciutat,POINT (2.171609650166558 41.44665153645408)
18,Antonio Machado - E M de Natació,POINT (2.170504715994722 41.44429481138409)
20,Antonio Machado - Artesania,POINT (2.1708213862666947 41.44438503212881)
21,Palau Reial,POINT (2.116136628335877 41.3855931238466)
22,Av República Argentina - Vallcarca,POINT (2.1439734013239478 41.411364980366116)
24,Ronda Guineueta Vella - Barri Canyelles,POINT (2.1652189855300423 41.44432545936974)
25,Ronda Guineueta Vella - Escola Deià,POINT (2.1677873525065485 41.444835445214544)
27,Metro Marina,POINT (2.187548624816929 41.39443652060837)
28,Hospital Vall d'Hebron,POINT (2.1429924537910474 41.426892430914)
29,Sant Genís dels Agudells - Natzaret,POINT (2.1380498089055813 41.42919681833726)
30,Sant Genís dels Agudells,POINT (2.138144783311567 41.429429957540655)
31,Llull - Àlaba,POINT (2.1955195568296935 41.3960201273447)
32,Metro Glòries,POINT (2.1880842852153264 41.40302046434473)
34,Av Icària - Av Bogatell,POINT (2.1993183139738863 41.39302513799257)
36,Metro Marina,POINT (2.187544654419209 41.39415329734852)
38,Marina - Ribes,POINT (2.1829317394136964 41.397709087479946)
39,Pg de Sant Joan - Alí-Bei,POINT (2.178786632215774 41.392553322031745)
41,Diagonal - Doctor Fleming,POINT (2.136321962467283 41.39071004982654)
42,Diagonal - L'Illa Diagonal,POINT (2.1335897951886795 41.38962300011276)
43,Pg Zona Franca - Foneria,POINT (2.139079492271442 41.35982611940885)
44,Pg Zona Franca - Foc,POINT (2.1415389465293435 41.35686272891957)
47,Parc Sanitari Pere Virgili,POINT (2.1419292118493005 41.416266549436905)
48,Palau d'Esports Vall d'Hebron,POINT (2.1441653264898766 41.42791991234202)
51,Hospital Vall d'Hebron - Natzaret,POINT (2.1382663104658888 41.42938365016152)
52,Metro Montbau - Hospital Vall d'Hebron,POINT (2.144496729721298 41.430145243075344)
54,Comte d'Urgell - Aragó,POINT (2.1554670442815 41.38457422747997)
55,Pg de Gràcia - Aragó,POINT (2.1655030482429694 41.39179965756838)
56,Casanova - Aragó,POINT (2.1580170453470986 41.38603896800173)
58,Aribau - Aragó,POINT (2.1600794243256995 41.38789868801672)
59,Entença - Consell de Cent,POINT (2.150088317149935 41.38008334392784)
60,Llúria - Aragó,POINT (2.167924800121421 41.393897604496196)
61,Independència - Consell de Cent,POINT (2.185030300125279 41.40660998338062)
63,Pg de Sant Joan - Aragó,POINT (2.17239072613645 41.397386323366476)
64,Montserrat Roig - Lleó Fontova,POINT (2.0617715611475007 41.36275493012816)
65,Josep Tarradellas - Francesc Macià,POINT (2.1437488586846305 41.391602782379884)
69,Pg Sant Gervasi - Mas Yebra,POINT (2.1381901848073546 41.41210058517856)
70,Terré - Pl de Benet XV,POINT (2.120595640754426 41.40600178384615)
71,Ronda de Dalt - Bellesguard,POINT (2.126513244073167 41.410478660021866)
73,Josep Garí - Collserola,POINT (2.135586402040773 41.41572550311381)
74,Benedetti - Ronda de Dalt,POINT (2.124256353415615 41.40884445852506)
79,Aeroport T2B - Sortides,POINT (2.075946311066171 41.30293025429886)
80,Aeroport T2B - Arribades,POINT (2.0793255129368733 41.3041500853966)
81,Aeroport T2C,POINT (2.08187459777348 41.30503253374092)
82,Tamariu - Palamós,POINT (2.185429966979869 41.449496023470374)
83,Via Favència - Aiguablava,POINT (2.1805601465574496 41.446460954918344)
84,Av Santa Coloma,POINT (2.207881754521349 41.44818490253078)
85,Metro Can Peixauet,POINT (2.209515248549062 41.445019025643134)
88,Torreblanca - Av Generalitat,POINT (2.0561323859457072 41.37607041912963)
89,Torreblanca - Pla del Vent,POINT (2.061322951561969 41.37919827006525)
90,Torreblanca - Rubió i Tudurí,POINT (2.0589475028268067 41.377765153674545)
91,Av Granvia - Miguel Hernández,POINT (2.120214007348505 41.35276297902497)
92,Pl Europa,POINT (2.126576673159588 41.35835312968156)
94,Diagonal - Balmes,POINT (2.155381779112274 41.395404055420975)
95,Gran Via - Balmes,POINT (2.165804450110879 41.387853637984)
96,Mitre - Muntaner,POINT (2.138465148520255 41.4030953745085)
97,Pg Sant Gervasi - Folgueroles,POINT (2.135210326944611 41.40937986850908)
98,València - Balmes,POINT (2.160080878305513 41.390198101499976)
99,Mitre - Saragossa,POINT (2.1434703607390344 41.405398218998364)
